exception,Count
"EMSG:LUW Policy Change Job XXX: The object you are trying to update was XXXSTRACE:XXX/XXX/XXX XXX:XXX AM. Please cancel and retry your change.
The object you are trying to update was 'Policy:pc:XXX - pc:XXX', and it was changed by System at XXX/XXX/XXX XXX:XXX AM. Please cancel and retry your change.
	at gw.acc.luw.LUWExceptionHelper.processUserDisplayableException(LUWExceptionHelper.gs:XXXSTRACERAW:-",3
EMSG:You cannot change a locked branchSTRACE:deployment.pc.war//com.guidewire.pl.system.entity.proxy.EffDatedBranchProxy.handleBranchChange(EffDatedBranchProxy.java:XXXSTRACERAW:-,3
EMSG:-STRACE:-STRACERAW:com.farmers.config.pa.validator.BrightlineValidator.validateQuoteBrightlineRules(BrightlineValidator.gs:XXX,2
EMSG:-STRACE:-STRACERAW:com.guidewire.pl.system.workqueue.DistributedWorkerControllerImpl.extractExceptionPropertyLength(DistributedWorkerControllerImpl.java:XXX,2
EMSG:-STRACE:-STRACERAW:com.guidewire.pl.system.workqueue.DistributedWorkerControllerImpl.setExceptionOnWorkItem(DistributedWorkerControllerImpl.java:XXX,2
EMSG:-STRACE:-STRACERAW:gw.job.JobConditions.assertOkay(JobConditions.gs:XXX,2
EMSG:-STRACE:com.farmers.integ.downstream.policytransaction.PolicyTransaction.updateTransactionOOS(PolicyTransaction.gs:XXXSTRACERAW:-,2
EMSG:-STRACE:gw.job.JobConditions.assertOkay(JobConditions.gs:XXXSTRACERAW:-,2
EMSG:-STRACE:org.jboss.as.naming@XXX.XXX.XXX.GA-redhatXXX//org.jboss.as.naming.InitialContext.getURLScheme(InitialContext.java:XXXSTRACERAW:-,2
"EMSG:A report shows that the XXXSTRACE:the  XXX NISSAN VERSA XXXD XXX.XXX S has been flagged as having Vehicle History activity.
	at edge.capabilities.quote.submission.quoting.util.SubmissionUnderwritingIssuesUtil.checkSideBySideProcessExceptions(SubmissionUnderwritingIssuesUtil.gs:XXXSTRACERAW:-",2
EMSG:Accident Forgiveness coverage cannot be added to this quote. Please remove it and re-rateSTRACE:edge.capabilities.policycommon.coverage.util.CoverageUtil.updateFrom XXXSTRACERAW:-,2
EMSG:EntityValidationExceptionSTRACE:edge.capabilities.quote.submission.quoting.util.SubmissionUnderwritingIssuesUtil.checkSideBySideProcessExceptions(SubmissionUnderwritingIssuesUtil.gs:XXXSTRACERAW:-,2
EMSG:Exclude the Driver XXXSTRACE:edge.capabilities.quote.submission.quoting.util.SubmissionUnderwritingIssuesUtil.checkSideBySideProcessExceptions(SubmissionUnderwritingIssuesUtil.gs:XXXSTRACERAW:-,2
"EMSG:For input string: ""XXX""STRACE:java.base/java.lang.NumberFormatException.forInputString(NumberFormatException.java:XXXSTRACERAW:-",2
EMSG:LHPI Ordering Failed! - [Value required.STRACE:java.base/jdk.internal.reflect.NativeConstructorAccessorImpl.newInstanceXXX(Native MethodSTRACERAW:-,2
EMSG:Policy is ineligible for Farmers Auto.STRACE:edge.capabilities.quote.submission.quoting.util.SubmissionUnderwritingIssuesUtil.checkSideBySideProcessExceptions(SubmissionUnderwritingIssuesUtil.gs:XXXSTRACERAW:-,2
EMSG:Policy is ineligible for Farmers Auto.STRACE:gw.lob.pa.PAPolicyLineMethods.postRateProcessing_Ext(PAPolicyLineMethods.gs:XXXSTRACERAW:-,2
EMSG:Validate mortgagee information and retry.  Mortgagee code creation was not successful.STRACE:com.farmers.config.ho.thirdparty.process.HOMortgageeProcess.displayMortgageServiceException(HOMortgageeProcess.gs:XXXSTRACERAW:-,2
"EMSG:, AOR=XXXSTRACE:com.farmers.config.ho.dwelling.location.process.HOLocationProcess.getPPCDetails(HOLocationProcess.gs:XXXSTRACERAW:-",1
"EMSG:, AOR=XXXSTRACE:com.farmers.config.ho.productmodel.enhancements.Dwelling_HOEEnhancement.valCADeductables(Dwelling_HOEEnhancement.gsx:XXXSTRACERAW:-",1
"EMSG:, AOR=XXXSTRACE:gw.lob.pa.PAPolicyLineMethods.postRateProcessing_Ext(PAPolicyLineMethods.gs:XXXSTRACERAW:-",1
EMSG:-STRACE:-STRACERAW:com.farmers.integ.serviceoperations.deeplaunch.servlets.util.PolicySearchHelper.policySearch(PolicySearchHelper.gs:XXX,1
EMSG:-STRACE:-STRACERAW:deployment.pc.war//com.guidewire.pl.metadata.datatypeXXX.fieldvalidator.FieldValidatorInfo.validateFormat(FieldValidatorInfo.java:XXX,1
EMSG:-STRACE:-STRACERAW:deployment.pc.war//com.guidewire.pl.system.database.entitywriter.TableWriterImpl.throwDBDuplicateKeyException(TableWriterImpl.java:XXX,1
EMSG:-STRACE:-STRACERAW:gw.job.QuoteProcess.requestQuote(QuoteProcess.gs:XXX,1
EMSG:-STRACE:-STRACERAW:gw.rating.flow.domain.CalcRoutine.executeRoutine(CalcRoutine.gs:XXX,1
EMSG:-STRACE:-STRACERAW:gwservices.pc.dm.api.FarmersPolicyRenewalOverride.startConversionRenewalWithBasedOn(FarmersPolicyRenewalOverride.gs:XXX,1
"EMSG:-STRACE:-STRACERAW:must be a combined limit (XXX-digit max, i.e XXX",1
EMSG:-STRACE:com.farmers.integ.security.community.ace.agent.profile.utils.AgentProfileBatchHelper.getUserByUPN(AgentProfileBatchHelper.gs:XXXSTRACERAW:-,1
EMSG:-STRACE:gw.lob.pa.PAPolicyLineMethods.postRateProcessing_Ext(PAPolicyLineMethods.gs:XXXSTRACERAW:-,1
EMSG:Exception Occured while processing the updateEsignDocumentContingency Documents. Please check individual Document StatusSTRACE:com.farmers.integ.documentmgmt.updatetrigger.UpdateEsignTriggerHelper.processUpdateEsignDocumentContingency(UpdateEsignTriggerHelper.gs:XXXSTRACERAW:-,1
EMSG:Expiration date cannot be before effective dateSTRACE:deployment.pc.war//com.guidewire.pl.system.entity.proxy.EffDatedBranchProxy.setPeriodWindow(EffDatedBranchProxy.java:XXXSTRACERAW:-,1
EMSG:Failed to close the connectionSTRACE:deployment.pc.war//com.guidewire.pl.system.transaction.ConnectionHandler.executeDatabaseOperationForCloseConnection(ConnectionHandler.java:XXXSTRACERAW:-,1
"EMSG:LUW Policy Change Job XXX: The object you are trying to update was XXXSTRACE:XXX/XXX/XXX XXX:XXX AM. Please cancel and retry your change.
The object you are trying to update was 'Policy:pc:XXX - pc:XXX', and it was changed by System at XXX/XXX/XXX XXX:XXX AM. Please cancel and retry your change.
	at com.farmers.integ.framework.job.automatejob.AutomatedJob.executeJob(AutomatedJob.gs:XXXSTRACERAW:-",1
EMSG:Policy is ineligible for Farmers Auto due to driver(s) with unacceptable license status.STRACE:com.farmers.config.pa.validator.BrightlineValidator.validateQuoteBrightlineRules(BrightlineValidator.gs:XXXSTRACERAW:-,1
EMSG:Policy is ineligible for Farmers Auto due to driver(s) with unacceptable license status.STRACE:gw.job.QuoteProcess.requestQuote(QuoteProcess.gs:XXXSTRACERAW:-,1
EMSG:Policy not found in system:nullSTRACE:com.farmers.integ.serviceoperations.deeplaunch.servlets.DeepLaunchServlet.validatePolicyNumber(DeepLaunchServlet.gs:XXXSTRACERAW:-,1
EMSG:The object you are trying to update was XXXSTRACE:edge.capabilities.quote.submission.GatewayQuoteHandler.handleOrThrowException(GatewayQuoteHandler.gs:XXXSTRACERAW:-,1
"EMSG:The value ""GABRIELA TRUJILLOSTRACE:deployment.pc.war//gw.datatype.impl.StringConstraintsHandlerBase.validateStringLength(StringConstraintsHandlerBase.java:XXXSTRACERAW:-",1
EMSG:XXX has exceeded the accident and/or violation threshold for eligibility in this program.STRACE:com.farmers.config.pa.validator.BrightlineValidator.validateQuoteBrightlineRules(BrightlineValidator.gs:XXXSTRACERAW:-,1
EMSG:XXX has exceeded the accident and/or violation threshold for eligibility in this program.STRACE:gw.job.QuoteProcess.requestQuote(QuoteProcess.gs:XXXSTRACERAW:-,1
EMSG:You cannot change a locked branchSTRACE:com.farmers.integ.framework.job.automatejob.AutomatedJob.executeJob(AutomatedJob.gs:XXXSTRACERAW:-,1
